Crop_Type,Soil_Type,Region,Season,Irrigation,Fertilizer,Rainfall,Temperature,Humidity,Nitrogen,Yield
Rice,Silty,South,Rabi,Flood,Organic,132.3,,53.6,65,5.32
Rice,Clay,West,Rabi,Drip,Mixed,190,29.6,,41,5.66
Wheat,Loamy,South,Zaid,Sprinkler,Chemical,121.9,27.8,,106,5.29
Wheat,Loamy,North,Rabi,Drip,Chemical,124,29.4,63.4,114,5.86
Maize,Loamy,West,Kharif,Sprinkler,Chemical,159.9,33.8,100.3,92,6.15
Maize,Loamy,North,Rabi,Drip,Organic,83.6,29.2,63,90,4.91
Rice,Silty,South,Zaid,Drip,Mixed,122.3,24.8,73.4,68,6.39
Rice,Clay,West,Rabi,Flood,Chemical,114,31.4,58.8,68,5.75
Sugarcane,Silty,West,Rabi,Drip,Chemical,125.1,,74.3,113,6.29
Maize,Sandy,West,Rabi,Flood,Organic,159.7,27.7,78.4,108,5.92
Sugarcane,Sandy,South,Rabi,Sprinkler,Mixed,149.4,21.8,60.9,79,5.01
Sugarcane,Clay,West,Kharif,Sprinkler,Organic,103.8,22.9,67.3,65,6.31
Rice,,South,Rabi,Sprinkler,Organic,134.8,27.2,,55,4.31
Rice,Loamy,East,Zaid,Sprinkler,Mixed,182.2,28.5,54.3,40,5.58
Sugarcane,Loamy,East,Kharif,Sprinkler,Organic,100.9,20.2,80.4,78,5.16
Cotton,,North,Rabi,Flood,Chemical,135.1,29,61.4,84,5.4
Rice,Clay,South,Zaid,Flood,Mixed,123.2,23.7,39,93,4.81
Cotton,Sandy,South,Kharif,Drip,Mixed,127.8,32.1,89.2,104,5.22
Maize,Sandy,South,Zaid,Flood,Chemical,72.9,25.6,58.4,69,3.99
Sugarcane,Sandy,South,Rabi,Drip,Mixed,179.4,22.5,65,53,5.05
Rice,Clay,East,Zaid,Flood,Mixed,102.9,27.3,87.7,107,6.74
Sugarcane,Clay,North,Kharif,Drip,Mixed,165.9,23.3,66.3,100,6.37
Sugarcane,Silty,North,Zaid,Drip,Organic,,32.1,66,82,4.69
Wheat,Loamy,West,Kharif,Flood,Mixed,108.1,27,53.3,43,4.57
Wheat,Sandy,South,Zaid,Flood,Organic,172.5,26.4,48.4,77,6.64
Maize,Sandy,East,Kharif,Drip,Mixed,164.8,29.4,66,89,5.9
Wheat,,East,Rabi,Sprinkler,Organic,137.3,,72.4,108,6.82
Rice,Sandy,East,Rabi,Sprinkler,Organic,,21.8,71.7,80,4.78
Maize,Clay,South,Zaid,Sprinkler,Organic,119.9,28.6,62.2,77,6.23
Sugarcane,Clay,South,Zaid,Sprinkler,Chemical,129.7,22.6,68.2,70,5.21
Sugarcane,Clay,West,Kharif,Flood,Organic,106.8,22.6,46,73,4.89
Wheat,Clay,West,Zaid,Flood,Organic,161.6,30.3,73.5,,4.59
Sugarcane,Loamy,South,Rabi,Sprinkler,Chemical,105.7,29.1,69.9,48,3.5
Wheat,Sandy,East,Rabi,Flood,Mixed,182,22,91.7,100,5.25
Cotton,Loamy,West,Kharif,Flood,Chemical,118.9,24.5,68.1,68,4.46
Sugarcane,Sandy,North,Kharif,Drip,Chemical,130.7,23.4,56.7,108,6.48
Sugarcane,Silty,West,Zaid,Flood,Chemical,,34.1,67.4,71,4.79
Rice,Silty,South,Zaid,Flood,Chemical,130.8,30.6,64.1,119,5
Sugarcane,Loamy,West,Rabi,Drip,Chemical,119.6,25.3,73.2,54,4.1
Wheat,Silty,East,Zaid,Flood,Chemical,128.9,29.3,68.3,55,4.66
Maize,Loamy,West,Kharif,Flood,Organic,161.3,21.6,52.9,87,5.72
Maize,Clay,North,Zaid,Sprinkler,Organic,106.8,24.3,48.4,104,5.5
Rice,Loamy,North,Rabi,Sprinkler,Mixed,125.6,27.4,71.2,51,5.72
Wheat,Loamy,West,Rabi,Sprinkler,Chemical,130.4,28.8,84.6,80,6.5
Cotton,,East,Rabi,Flood,Organic,160.3,26.6,69,57,7.14
Rice,Loamy,East,Zaid,Flood,Organic,126.5,28,77.8,98,4.53
Cotton,Silty,North,Rabi,Flood,Mixed,193.3,27.3,80.2,84,5.89
Maize,Loamy,North,Zaid,Sprinkler,Organic,,26.3,71.2,92,6.25
Rice,Clay,West,Zaid,Drip,Organic,121.7,25.8,58.2,61,4.65
Sugarcane,Sandy,South,Rabi,Flood,Mixed,124,25.3,70.3,63,5.76
Wheat,Silty,East,Zaid,Drip,Chemical,83.9,27.9,82.5,,5.22
Cotton,Silty,South,Rabi,Drip,Chemical,93.7,28.6,74.4,,5.98
Cotton,Loamy,South,Rabi,Drip,Mixed,111.4,27.8,77,95,6.38
Rice,Silty,North,Kharif,Flood,Organic,169.8,22.3,62.4,52,6.29
Rice,Sandy,West,Rabi,Sprinkler,Chemical,128.8,23,65.6,64,4.76
Wheat,Loamy,West,Rabi,Drip,Mixed,,28.6,66.6,48,4.53
Sugarcane,Clay,North,Rabi,Drip,Chemical,172.9,32.9,67.4,46,5.09
Sugarcane,Silty,South,Kharif,Sprinkler,Organic,184.3,27.6,82,60,4.74
Rice,Clay,East,Rabi,Flood,Mixed,173.9,25.4,39.8,79,7.32
Wheat,Loamy,South,Rabi,Flood,Mixed,100.1,27.9,68.4,51,5.09
Wheat,Silty,East,Kharif,Sprinkler,Organic,112.7,22.5,67,47,4.22
Wheat,Silty,South,Kharif,Sprinkler,Organic,193.5,32.2,51.5,110,7.99
Sugarcane,Silty,North,Zaid,Flood,Mixed,138.4,27.7,76.1,81,5.17
Sugarcane,,South,Rabi,Flood,Organic,120.6,24.3,59.3,97,4.2
Wheat,Silty,East,Kharif,,Mixed,155.1,26.3,63.7,98,7.07
Cotton,Clay,North,Zaid,Flood,Organic,165.3,24.9,90.2,48,4.35
Wheat,Loamy,West,Kharif,Sprinkler,Mixed,110,32.2,80.1,89,5.12
Rice,,North,Rabi,Flood,Mixed,137.7,26.2,74.9,108,6.37
Maize,,North,Kharif,Drip,Chemical,162.4,27.6,72.6,75,6.23
Cotton,Clay,East,Kharif,Drip,Organic,,29.3,66,108,6.11
Sugarcane,Sandy,East,Rabi,Flood,Chemical,130.4,24,92,115,6.63
Wheat,Silty,South,Kharif,Flood,Mixed,91,27.8,77.6,83,5.44
Wheat,Clay,South,Rabi,Drip,Mixed,95.6,28.1,59,48,3.73
Rice,Clay,North,Kharif,Flood,Organic,,20.8,51.2,89,5.48
Rice,Sandy,East,Zaid,,Chemical,146.7,28,74.8,110,5.17
Sugarcane,Loamy,South,Kharif,Flood,Mixed,118.7,26.8,67.3,86,6.74
Cotton,Sandy,North,Zaid,Drip,Organic,107.3,27.5,50.9,104,4.55
Rice,Sandy,South,Rabi,Drip,Mixed,131.8,27.1,73.1,82,5.34
Sugarcane,,West,Zaid,Flood,Organic,89.9,,64.8,,3.72
Maize,Clay,South,Zaid,Flood,Mixed,145,32.3,74.4,115,5.73
Maize,Silty,West,Zaid,Drip,Organic,169.6,22.3,73.3,52,5.45
Maize,Clay,South,Zaid,Drip,Organic,127.2,,60.7,75,4.94
Wheat,Sandy,North,Kharif,Sprinkler,Chemical,122.9,29.7,75.6,52,5.72
Sugarcane,Clay,South,Kharif,Drip,Chemical,143.1,28.9,62,92,6.11
Wheat,Loamy,South,Zaid,Flood,Organic,59,,62.8,113,4.72
Wheat,Sandy,North,Zaid,Flood,Chemical,148.8,38,61.6,119,6.18
Rice,Loamy,East,Kharif,Flood,Organic,238.6,29.5,81.6,58,7.64
Rice,Silty,South,Rabi,Drip,Mixed,125.7,31.5,64.6,98,6.44
Wheat,Sandy,East,Rabi,Drip,Organic,125.8,25.8,84.5,109,5.12
Wheat,Clay,South,Rabi,Flood,Chemical,156,,89.4,106,5.8
Cotton,Clay,South,Rabi,Drip,Mixed,187.6,25.7,59.1,80,6.75
Sugarcane,Sandy,South,Rabi,Sprinkler,Organic,164.1,,32.9,53,5.72
Wheat,,North,Rabi,Sprinkler,Organic,54.6,28.6,80.5,76,3.45
Rice,Clay,East,Zaid,Flood,Mixed,,28.6,63.9,102,6.84
Maize,Clay,North,Rabi,Drip,Organic,220,26.1,57.6,89,6.34
Sugarcane,Clay,East,Kharif,Flood,Mixed,151.8,25.5,60.9,71,6.7
Cotton,Silty,West,Kharif,Flood,Chemical,89.6,,63,57,4.89
Cotton,Loamy,West,Rabi,Drip,Mixed,139.9,29.9,83.6,92,4.95
Maize,Silty,South,Zaid,Sprinkler,Organic,85.2,30.4,69.9,74,4.23
Maize,Clay,South,Zaid,Drip,Organic,173.1,23,83.4,77,5.58
Wheat,Sandy,West,Zaid,Sprinkler,Mixed,96.5,30,73.9,115,5.79
Sugarcane,Loamy,South,Zaid,Drip,Mixed,132.6,24.4,64.3,40,4.55
Sugarcane,Clay,South,Kharif,Drip,Mixed,100,,63.3,59,3.71
Wheat,Silty,West,Zaid,Sprinkler,Organic,110.9,26.2,74.7,113,4.78
Cotton,Clay,West,Rabi,Sprinkler,Chemical,182,33.3,77.8,113,7.24
Wheat,Loamy,West,Zaid,Drip,Chemical,,25.3,80,64,5.46
Cotton,Sandy,North,Zaid,Drip,Chemical,,27.7,64.9,119,6.1
Sugarcane,Loamy,West,Rabi,Drip,Organic,89.9,29.4,70.1,56,4.61
Wheat,Clay,North,Kharif,Flood,Chemical,64.5,23.5,75,44,3.25
Maize,Clay,East,Kharif,Sprinkler,Chemical,86.2,26.7,63.4,64,4.71
Wheat,Sandy,West,Rabi,Drip,Organic,133.9,25.9,54.4,82,7.65
Maize,,East,Zaid,Drip,Chemical,164.3,24.9,58.3,40,6.14
Sugarcane,Sandy,West,Rabi,Flood,Organic,110.4,25.2,65.1,53,4.43
Wheat,Silty,South,Rabi,Drip,Organic,185,31.4,75.9,103,6.28
Rice,Loamy,South,Rabi,,Organic,104.9,24.6,83.1,89,2.99
Sugarcane,Clay,South,Zaid,Sprinkler,Chemical,121.7,29.3,51.7,88,6.37
Rice,Loamy,South,Rabi,Drip,Organic,92.2,28.3,60.8,119,6.35
Wheat,,East,Kharif,Drip,Chemical,164.7,21.4,,58,5.03
Maize,Loamy,South,Zaid,Drip,Chemical,203.4,29.1,77.5,111,6.06
Maize,Sandy,East,Rabi,Flood,Mixed,68.3,21.3,61.7,68,3.29
Cotton,Silty,South,Zaid,Sprinkler,Organic,117.9,29.5,62.8,113,6.31
Rice,Silty,South,Rabi,Sprinkler,Chemical,174.3,25,51.1,102,6.52
Sugarcane,Sandy,North,Zaid,Drip,Organic,79.4,27,73.8,57,4.88
Maize,Silty,East,Rabi,Flood,Chemical,149.8,21.8,66.1,56,5.28
Rice,Loamy,West,Rabi,Drip,Chemical,172.8,27.5,60.2,83,7.01
Sugarcane,Silty,West,Zaid,Sprinkler,Mixed,132.7,30.7,64.9,80,5.78
Sugarcane,Silty,South,Zaid,Flood,Chemical,149.3,23.8,81.5,58,5.97
Maize,,South,Zaid,Flood,Mixed,191.6,24.6,,60,4.33
Wheat,Clay,East,Zaid,Sprinkler,Organic,198.2,28.8,57.9,111,6.15
Maize,Silty,East,Kharif,Flood,Organic,127.8,28.9,83,100,5.57
Maize,Clay,North,Rabi,,Organic,111.4,17.3,68.9,55,5.34
Wheat,Silty,East,Rabi,Flood,Chemical,97.8,35.1,76,98,6.69
Cotton,Silty,North,Kharif,Sprinkler,Organic,164.2,29.1,72.8,52,5.31
Sugarcane,Clay,North,Kharif,Sprinkler,Organic,82,29.8,,75,4.16
Wheat,Loamy,East,Kharif,Drip,Organic,121.2,26.4,63.8,40,3.04
Cotton,Clay,North,Rabi,Flood,Mixed,133.6,19.6,78,91,6.29
Wheat,Loamy,South,Kharif,Flood,Mixed,112.4,29.7,,54,4.24
Cotton,Clay,East,Rabi,Flood,Organic,139.8,24.7,81,58,7.55
Maize,Sandy,East,Rabi,Drip,Mixed,219.8,29.2,53.8,55,5.74
Wheat,Clay,South,Rabi,Sprinkler,Organic,125.7,26.1,83.7,54,6.62
Sugarcane,Loamy,North,Kharif,Flood,Chemical,114.8,28,63.7,46,5.21
Wheat,,West,Kharif,Sprinkler,Organic,165.5,23.9,58.9,84,5.25
Maize,Sandy,West,Rabi,Flood,Chemical,138.4,30.5,66,109,6.34
Wheat,Loamy,West,Kharif,,Mixed,180.4,22.2,78,64,6.46
Sugarcane,Loamy,East,Rabi,Drip,Mixed,,,74.5,102,5.63
Cotton,Silty,South,Rabi,,Chemical,121.3,36,64.9,83,5.88
Sugarcane,Loamy,West,Rabi,Drip,Chemical,67.6,33.5,78.1,60,4.67
Maize,Clay,South,Kharif,Sprinkler,Mixed,73.3,32.1,69.7,44,4.3
Maize,Loamy,North,Zaid,Sprinkler,Organic,65.8,26.7,61.1,102,5
Cotton,,West,Rabi,Flood,Chemical,143.3,,59.5,41,3.89
Cotton,,South,Rabi,Flood,Organic,82.3,26.6,72.9,73,4.62
Sugarcane,Sandy,West,Rabi,Sprinkler,Mixed,173.9,20.8,67,42,5.4
Wheat,Loamy,South,Kharif,Sprinkler,Chemical,131.1,33,51.5,102,4.33
Cotton,Loamy,West,Zaid,Sprinkler,Chemical,121.5,31.5,78.2,119,6.2
Wheat,Loamy,East,Rabi,Sprinkler,Chemical,100.5,26.9,62.2,65,4.73
Rice,Sandy,South,Kharif,Sprinkler,Organic,,22.1,87.1,65,4.39
Sugarcane,Silty,South,Zaid,Flood,Organic,101.8,24.7,,85,4.89
Rice,Loamy,West,Zaid,Flood,Mixed,95.5,19.7,65.8,80,4.56
Cotton,Clay,North,Kharif,Flood,Organic,171.6,30.8,59.6,70,7.4
Maize,,South,Zaid,Drip,Organic,142.4,20.6,56.3,69,5.5
Rice,Clay,South,Zaid,Sprinkler,Organic,121.8,28.1,62.2,55,5.72
Rice,Loamy,East,Zaid,Sprinkler,Mixed,152.5,23.6,89.2,60,5.29
Maize,Loamy,South,Rabi,Sprinkler,Organic,130.3,21.3,69.7,86,4
Cotton,Sandy,East,Rabi,Sprinkler,Mixed,143.4,28,58.5,98,6.62
Cotton,Clay,South,Rabi,,Chemical,101.4,25.7,46.1,100,4.96
Sugarcane,Clay,North,Zaid,Sprinkler,Mixed,,30.4,47.3,81,6.29
Sugarcane,Clay,North,Kharif,Drip,Chemical,109.7,21.9,61.6,100,4.65
Cotton,Silty,East,Rabi,Sprinkler,Organic,184.5,24,60.4,87,6.48
Cotton,Sandy,South,Kharif,Flood,Chemical,123.4,17.4,65.3,68,5.78
Rice,Clay,South,Rabi,Drip,Chemical,158.2,18.3,40.7,68,6.22
Maize,Loamy,East,Zaid,Drip,Organic,155.7,34.2,66.9,81,7.01
Wheat,Silty,South,Kharif,Flood,Chemical,170.1,35.3,80.3,64,6.96
Rice,Silty,South,Zaid,Drip,Organic,100.6,27.4,87.5,101,3.88
Sugarcane,Loamy,North,Rabi,Sprinkler,Mixed,167.6,23.7,45.3,54,4.54
Maize,Silty,South,Kharif,Flood,Mixed,194.6,25.8,,44,4.32
Wheat,Sandy,East,Rabi,Drip,Organic,120.9,30.5,57.7,79,5.79
Cotton,Loamy,East,Zaid,,Chemical,,24.9,69.7,45,4.25
Sugarcane,,West,Kharif,Drip,Chemical,111.7,28,53.4,55,4.35
Sugarcane,Loamy,West,Kharif,Drip,Organic,117.9,26.9,88.2,70,4.99
Rice,Loamy,North,Kharif,Drip,Chemical,189.9,24.7,68.5,40,5.89
Maize,Loamy,South,Rabi,Drip,Organic,94.9,24.9,66.5,57,3.31
Maize,Clay,South,Zaid,Sprinkler,Organic,97,28.2,87.1,83,4.07
Rice,Sandy,East,Kharif,Sprinkler,Mixed,186.4,23.1,67.8,69,6.06
Rice,Clay,South,Zaid,Drip,Chemical,151.9,28.8,72.8,111,7.4
Rice,Loamy,West,Rabi,Flood,Mixed,,25.1,59,47,5.93
Sugarcane,Loamy,South,Rabi,Flood,Chemical,114.2,27.5,51.6,97,5
Cotton,Silty,East,Zaid,Drip,Mixed,134.4,32.5,60.7,,3.87
Sugarcane,Silty,North,Rabi,Flood,Mixed,106.9,,94.2,91,6.16
Sugarcane,Silty,West,Rabi,Drip,Chemical,135,30.7,75.6,,5.19
Sugarcane,Loamy,West,Zaid,,Chemical,67.9,19.8,71.3,44,2.76
Wheat,Silty,West,Rabi,Sprinkler,Chemical,154,,56.3,103,4.94
Sugarcane,Sandy,South,Rabi,Sprinkler,Mixed,141.3,27.1,78.9,66,4.29
Wheat,Sandy,North,Kharif,,Chemical,128,34.7,51.7,92,4.76
Maize,Loamy,East,Rabi,Flood,Chemical,116.3,19.2,49.2,63,4.58
Maize,Silty,South,Rabi,Drip,Organic,98.7,26.6,61.3,71,3.92
Rice,,West,Rabi,Sprinkler,Mixed,155.5,32.8,91.5,96,6.23
Wheat,Loamy,East,Rabi,Flood,Chemical,89,23.9,90.8,114,5.32
Wheat,Loamy,East,Rabi,Flood,Organic,147.9,,62.6,110,8.17
Sugarcane,Clay,West,Zaid,Flood,Chemical,202.6,28.3,59.9,98,5.6
Rice,Loamy,West,Rabi,Sprinkler,Chemical,182,27.7,48.3,83,6.5
Rice,Clay,South,Rabi,Drip,Organic,77.3,33.3,68.9,82,4.75
Sugarcane,Clay,North,Rabi,Sprinkler,Mixed,111.2,28.8,69.9,,5.13
Wheat,Silty,North,Kharif,Flood,Mixed,144.8,32.3,77.5,56,5.21
Sugarcane,Loamy,South,Zaid,Flood,Mixed,127.5,25.6,,116,6.81
Sugarcane,Sandy,East,Kharif,Flood,Chemical,81,,65.6,91,5.02
Maize,Silty,North,Rabi,Flood,Organic,143.5,26.1,74.7,89,7.01
Wheat,Silty,North,Rabi,Sprinkler,Organic,129.6,22.4,59.6,87,3.8
Wheat,Silty,East,Kharif,Drip,Mixed,197,28.9,74.4,104,6.3
Rice,Loamy,West,Rabi,Sprinkler,Organic,121.1,25.5,61.9,94,6.83
Maize,Silty,North,Zaid,Sprinkler,Mixed,170.9,24.3,73.5,47,6.15
Wheat,Silty,East,Zaid,Flood,Mixed,85.7,29,72.5,102,5.7
Maize,Clay,North,Kharif,,Organic,94,22.4,68.8,98,6.22
Wheat,Clay,East,Zaid,Flood,Mixed,155.3,30.1,77.5,113,4.96
Maize,Sandy,West,Rabi,Drip,Organic,167.9,25.1,49.2,114,7.38
Wheat,Clay,West,Rabi,,Chemical,96.5,31.6,55.2,115,6.46
Cotton,Clay,East,Zaid,Sprinkler,Chemical,130.8,25.4,,43,4.25
Wheat,Silty,East,Zaid,Flood,Mixed,81.6,29.5,50.7,90,7.05
Wheat,Silty,West,Rabi,Sprinkler,Chemical,123.7,,63.1,114,6.27
Wheat,Clay,East,Kharif,Sprinkler,Mixed,159.3,30,63.5,117,4.89
Sugarcane,Silty,South,Rabi,Drip,Chemical,114.8,27.4,83.7,83,5.68
Wheat,Clay,West,Kharif,,Mixed,121.3,20.3,69.7,112,5.28
Maize,Silty,East,Zaid,Flood,Mixed,90.5,31,,110,6.37
Maize,Sandy,West,Zaid,Flood,Mixed,107.3,26.6,71.6,40,4.84
Maize,Clay,East,Kharif,,Chemical,191.5,30.2,61.6,110,6.5
Cotton,,West,Zaid,Drip,Chemical,132.6,29.8,69.6,91,6.93
Sugarcane,Sandy,North,Kharif,Flood,Mixed,94.9,23.9,76.8,85,5.78
Rice,Clay,North,Zaid,Drip,Mixed,119,23.3,82.3,54,4.09
Sugarcane,Loamy,North,Rabi,Sprinkler,Mixed,74.1,,66.4,113,5.17
Rice,,East,Kharif,Sprinkler,Chemical,94.5,25.8,48.2,63,5.06
Sugarcane,Silty,East,Kharif,Flood,Mixed,177.6,30.7,47.4,73,5.72
Maize,Loamy,North,Kharif,Flood,Mixed,125,26.3,64.1,,4.85
Cotton,Silty,North,Rabi,Flood,Mixed,196.2,31.1,39.9,117,7.19
Sugarcane,Silty,West,Rabi,Drip,Organic,126.7,28.7,89.5,78,4.56
Cotton,Loamy,West,Zaid,Sprinkler,Chemical,128.7,28.2,75.2,49,3.09
Sugarcane,Sandy,East,Rabi,Flood,Mixed,152.4,25.5,60.4,40,5.23
Maize,Sandy,South,Kharif,Flood,Mixed,36.5,27.9,54.7,118,3.29
Wheat,Clay,South,Kharif,Drip,Mixed,137.2,31.8,80.3,58,4.28
Maize,Sandy,North,Kharif,Flood,Organic,128.3,26.8,54.6,101,4.52
Wheat,,North,Rabi,,Organic,182,29.1,55.8,42,4.19
Sugarcane,Clay,West,Rabi,Drip,Mixed,,27.2,58.8,111,7.01
Rice,Clay,South,Rabi,,Mixed,90.3,27.5,69.4,92,5
Rice,Silty,East,Rabi,Flood,Organic,173.5,33.9,75.4,57,5.33
Rice,Sandy,East,Rabi,Drip,Chemical,120.8,31.8,82.3,111,4.84
Cotton,Clay,South,Rabi,Drip,Mixed,98.3,27.3,80.5,63,4.2
Maize,Silty,North,Rabi,Flood,Organic,136.9,27.9,,119,6.71
Sugarcane,Silty,East,Zaid,Flood,Mixed,122.9,24.2,80.2,87,5.46
Maize,Silty,North,Kharif,Drip,Organic,183.8,26.3,59.9,75,6.89
Rice,Sandy,South,Rabi,Flood,Organic,141.9,28.2,46.1,44,5.74
Wheat,Clay,West,Kharif,Flood,Mixed,137.2,30.4,59.9,60,4.95
Wheat,Silty,East,Rabi,Flood,Chemical,161.5,30,58.3,44,3.73
Rice,Clay,West,Kharif,Drip,Chemical,168.3,22.6,60.4,108,5.95
Sugarcane,Clay,North,Rabi,Sprinkler,Mixed,157.4,30.9,56.5,48,5.13
Maize,,North,Rabi,Flood,Organic,179.7,26.6,62.5,49,5.04
Sugarcane,Silty,South,Rabi,Flood,Chemical,151.3,23.1,75.4,49,4.29
Wheat,,South,Kharif,Sprinkler,Chemical,135.9,32.3,88.6,117,6.28
Wheat,Clay,North,Kharif,Drip,Mixed,173.4,32.9,,117,8.71
Sugarcane,Clay,West,Kharif,Drip,Organic,126.8,28.1,52.5,97,5.42
Wheat,Clay,North,Kharif,Drip,Chemical,131.2,29.8,58.5,45,4.78
Wheat,Sandy,East,Zaid,Drip,Chemical,190.3,30.1,77.2,80,5.31
Maize,Clay,East,Zaid,,Chemical,186.8,32.6,65.5,115,7.93
Sugarcane,Sandy,East,Kharif,Drip,Mixed,129.7,29.9,59.3,47,5.5
Cotton,Clay,North,Kharif,,Chemical,,,,103,6.26
Wheat,Clay,South,Kharif,Sprinkler,Mixed,181.2,35,79.5,41,6.39
Sugarcane,Silty,East,Rabi,Sprinkler,Mixed,158,31.3,67.8,104,5.98
Sugarcane,Clay,South,Kharif,Flood,Mixed,,25,58.2,83,5.47
Sugarcane,,East,Rabi,Sprinkler,Mixed,118.7,,71.2,111,7.25
Sugarcane,,North,Zaid,Sprinkler,Chemical,141.6,29,65.2,73,6.03
Rice,Sandy,North,Kharif,Drip,Organic,129.2,,65.1,102,4.17
Sugarcane,Loamy,East,Zaid,Sprinkler,Mixed,106.7,28.3,61.9,107,6.07
Rice,Clay,East,Zaid,Drip,Chemical,134.5,30,,65,4.76
Sugarcane,Loamy,North,Kharif,Sprinkler,Organic,139.3,24.7,71,91,6.56
Maize,Sandy,West,Zaid,Flood,Organic,116.9,22.5,80.4,76,5.47
Cotton,Sandy,North,Kharif,Sprinkler,Organic,161.6,28.5,84,74,4.47
Cotton,Silty,West,Rabi,,Mixed,175.1,24.9,73.5,103,6.84
Cotton,Clay,East,Rabi,Flood,Organic,163.9,27.6,61.9,58,5.77
Cotton,Silty,West,Rabi,Flood,Mixed,120.3,21.6,80.5,49,4.91
Cotton,,West,Zaid,Sprinkler,Chemical,,26,73.6,78,6.34
Cotton,Silty,South,Kharif,Drip,Organic,132.7,,99.2,105,7.2
Wheat,Sandy,West,Rabi,Flood,Chemical,86.7,29.4,71.7,53,4.62
Sugarcane,,North,Kharif,Drip,Mixed,153.5,23.8,76.4,67,5.56
Maize,Silty,South,Rabi,Flood,Mixed,135.1,22.3,71.5,93,6.66
Rice,Sandy,North,Zaid,Drip,Chemical,220.8,,66.8,78,8.66
Maize,,South,Zaid,Sprinkler,Chemical,,29.2,64.9,88,7.14
Sugarcane,Sandy,West,Rabi,Flood,Organic,,28.6,71.5,82,6.08
Sugarcane,Silty,South,Zaid,Drip,Organic,138.7,25,74.3,104,6.45
Sugarcane,Silty,North,Kharif,Drip,Chemical,135.7,28.2,81.9,,6.4
Maize,Silty,South,Rabi,Drip,Chemical,94.9,33,71.7,75,4.76
Cotton,Loamy,West,Zaid,Sprinkler,Organic,69.1,27.8,62.4,74,6.22
Rice,Sandy,East,Rabi,Sprinkler,Mixed,99.5,20.5,64.1,62,3.94
Cotton,Loamy,East,Rabi,Drip,Chemical,128.3,27.8,52.1,,6.32
Cotton,Sandy,South,Rabi,Sprinkler,Organic,56.3,35.2,,106,4.62
Rice,Silty,South,Kharif,Flood,Mixed,110.9,21.9,61.5,,3.93
Rice,Loamy,East,Kharif,Flood,Organic,,27.1,79.6,95,5.57
Wheat,Sandy,East,Rabi,Drip,Mixed,122.5,26.1,71.3,73,4.83
Wheat,Silty,West,Rabi,Sprinkler,Organic,106.8,27.4,71.6,96,5.97
Maize,Silty,East,Rabi,Drip,Chemical,,27.8,66.6,96,5.74
Maize,Clay,West,Zaid,Sprinkler,Chemical,190.3,31.6,58.5,82,5.54
Wheat,Loamy,West,Zaid,Flood,Mixed,153.2,27.3,56.4,114,7.75
Maize,Silty,North,Zaid,Flood,Organic,110.4,32.1,88.7,110,6.58
Cotton,Silty,South,Kharif,Drip,Mixed,127.6,26.5,69.4,52,6.21
Rice,Sandy,South,Kharif,Drip,Chemical,129,25.6,81.5,,5.24
Rice,Silty,North,Zaid,Flood,Organic,103.1,24.3,84.6,116,5.76
Rice,Loamy,North,Kharif,Flood,Chemical,103.1,19.7,63.1,72,5.33
Maize,Sandy,West,Kharif,Drip,Mixed,165.4,28.1,73.1,64,5.27
Rice,Loamy,South,Rabi,Drip,Chemical,,35.2,68.5,103,5.65
Cotton,,North,Kharif,Sprinkler,Organic,91.7,28.8,54.1,88,4.94
Rice,Sandy,South,Rabi,Sprinkler,Chemical,128.5,29.7,65.8,50,3.68
Maize,Silty,South,Rabi,Sprinkler,Chemical,134.1,25.3,75.1,47,5
Rice,Sandy,North,Zaid,Flood,Organic,61,26,,104,4.61
Wheat,Loamy,North,Zaid,Flood,Organic,128.6,30.9,64.1,101,5.64
Cotton,Loamy,West,Rabi,Flood,Mixed,160.4,35,65.9,68,5.82
Rice,Clay,West,Rabi,Drip,Organic,145.8,33,93.3,108,7.19
Rice,Sandy,South,Rabi,Flood,Chemical,208,30.2,46,50,5.34
Cotton,Loamy,East,Zaid,Flood,Mixed,173.8,27.1,74,109,6.51
Sugarcane,Silty,West,Rabi,Sprinkler,Organic,180.7,27.8,65,46,4.99
Cotton,Loamy,West,Rabi,Sprinkler,Chemical,228,24,60.3,90,6.47
Sugarcane,Clay,North,Rabi,Flood,Organic,156.5,21.2,64.7,,5.84
Sugarcane,Loamy,West,Zaid,Flood,Mixed,,22.5,76,89,5.52
Maize,Clay,North,Kharif,Sprinkler,Chemical,164.1,27.2,76.7,102,6.96
Cotton,Clay,North,Zaid,Drip,Mixed,110.4,25.8,70.2,67,5.22
Rice,Loamy,South,Zaid,,Mixed,133.8,21.1,81.1,63,4.24
Maize,Sandy,East,Rabi,Flood,Chemical,107.3,26.9,83.2,,5.86
Maize,Silty,North,Zaid,Drip,Organic,143.9,25.7,77.8,49,5.86
Sugarcane,Silty,South,Kharif,Flood,Chemical,107.2,22.3,61.4,62,3.99
Sugarcane,Clay,South,Kharif,Drip,Organic,106,25.5,73.9,59,5.7
Maize,Silty,South,Rabi,Flood,Chemical,144.5,25.7,74,100,6.39
Cotton,Silty,West,Zaid,Sprinkler,Organic,125.2,24.5,58.2,57,4.82
Rice,Silty,South,Zaid,Drip,Mixed,62.5,30.7,49.2,53,4.17
Sugarcane,Clay,North,Kharif,,Chemical,79.1,19.4,,,4.9
